loadsmart_id,shipper_name,delivery_date,pickup_city,pickup_state,delivery_city,delivery_state,book_price,carrier_name
206422137,Shipper 585,2024-12-12 11:00:00,Plant City,FL,Commerce,GA,600.0,Carrier 34822
206423225,Shipper 1644,2024-12-02 10:15:00,North Charleston,SC,Laredo,TX,2963.12,Carrier 1687657
206423241,Shipper 1249,2024-12-18 13:00:00,Granite City,IL,Knoxville,TN,1839.73,Carrier 51278
206423585,Shipper 585,2024-12-14 10:35:00,Crete,IL,Plant City,FL,4600.0,Carrier 1044520
206423593,Shipper 1249,2024-12-22 19:00:00,Newark,NJ,Boise,ID,4478.8,Carrier 1241642
206424665,Shipper 758,2024-12-30 23:25:00,Denver,CO,Layton,UT,2768.26,Carrier 61452
206424809,Shipper 968,2024-12-15 15:10:00,Brockton,MA,Newark,NJ,515.0,Carrier 97236
206424825,Shipper 1249,2024-12-21 09:00:00,Cartersville,GA,Albany,GA,742.69,Carrier 71756
206425305,Shipper 1644,2024-12-14 15:49:00,Kendallville,IN,Mount Holly,NC,3213.53,Carrier 19121
206425321,Shipper 1249,2024-12-20 17:00:00,St. Louis,MO,Beaumont,TX,2160.56,Carrier 106325
206425625,Shipper 1249,2024-12-15 11:05:00,Aurora,CO,Mobridge,SD,1987.44,Carrier 8914
206425969,Shipper 758,2024-12-01 01:10:00,Hawkins,TX,Roanoke,TX,462.07,Carrier 611154
206425977,Shipper 758,2024-12-12 03:00:00,Vernon,CA,Tracy,CA,805.76,Carrier 552905
206427105,Shipper 1249,2024-12-05 09:30:00,Jacksonville,FL,Homestead,FL,1259.04,Carrier 1352546
206427113,Shipper 1249,2024-12-14 07:00:00,Cartersville,GA,Gainesville,FL,1269.72,Carrier 1326586
206427121,Shipper 1249,2024-12-15 11:10:00,Jacksonville,FL,Holiday,FL,750.64,Carrier 1352546
206427257,Shipper 758,2024-12-12 00:30:00,Hawkins,TX,Roanoke,TX,462.07,Carrier 567581
206428377,Shipper 758,2024-12-20 01:30:00,Hawkins,TX,Roanoke,TX,462.07,Carrier 698669
206428505,Shipper 1644,2024-12-20 20:00:00,Del Rio,TX,Mount Holly,NC,200.0,Carrier 19121
206428745,Shipper 1644,2024-12-04 13:15:00,Lakewood,NY,Laredo,TX,4076.11,Carrier 1239822
206428753,Shipper 1249,2024-12-11 18:25:00,Fairfield,CA,Jacksonville,FL,7079.49,Carrier 1416491
206428761,Shipper 832,2024-12-19 20:05:00,Fostoria,OH,Wells,ME,4075.0,Carrier 972055
206429721,Shipper 1249,2024-12-09 10:30:00,Fort Collins,CO,Hays,KS,1465.12,Carrier 1669683
206429729,Shipper 1249,2024-12-18 17:00:00,Los Angeles,CA,Columbus,OH,5319.58,Carrier 389721
206430521,Shipper 758,2024-12-12 23:00:00,Hawkins,TX,Roanoke,TX,462.07,Carrier 567581
206430537,Shipper 758,2024-12-18 23:15:00,Hawkins,TX,Roanoke,TX,462.07,Carrier 567581
206430625,Shipper 1644,2024-12-02 08:00:00,Trenton,MO,Cleveland,NC,2913.46,Carrier 23611
206430633,Shipper 1249,2024-12-09 11:00:00,Los Angeles,CA,Greensboro,NC,6624.25,Carrier 704679
206430641,Shipper 1644,2024-12-21 23:00:00,Bolingbrook,IL,Swedesboro,NJ,3041.2,Carrier 362291
206431033,Shipper 758,2024-12-21 02:00:00,Hood River,OR,Upper Marlboro,MD,8922.51,Carrier 605817
